petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
43b835b2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
680691db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a987ff23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df4660b0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ef4cf975,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
acbd8ff9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ecc9381,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
04dd672e,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
1406dd8b,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
93d48b3d,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
35dce8f1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e56d784b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5ffe8d6d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21049413,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec974a2b,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6b84989d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9489df5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7795c16a,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8f8ef945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d2b1cc21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc079f17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27c98ce7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
c43b8fb4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0dd691df,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5299442a,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6eeb53a6,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
62dccd0f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
074480b9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce6b8851,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
039772f5,0,0,1,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0
78e37e6f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ebea2389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1ddfe27b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
594cc997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33de666a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14d44a66,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027de6da,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27f3f2d5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
fb441edd,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc409766,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c8fa4c0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5501546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c8a9d02b,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13e48f4e,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
d0553618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8f9c216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938e8106,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b6244837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c7b0b11,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
d0d50d17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
