petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
f0648584,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
88392988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ac1bbc1a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14a29bd9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
e5d694d6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
ba0cb124,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c30a7113,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
d5146cd1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
da81da5e,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
c85a4a03,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
c7e8f39f,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a2d9c3b6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
709eb439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
344e48d0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc2de0e0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23936826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e70ea807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c50c07eb,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
f81b1ae9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2e7883b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a94a5492,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e8ede986,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
c4e6ca6a,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1d80b1d1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
fed43348,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae8fe445,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0481e612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26c2eeda,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
